0.537,0.024
0.991,0.535
0.472,0.656
0.575,0.766
0.217,0.407
0.454,0.681
0.444,0.052
0.670,0.820
0.127,0.749
0.481,0.075
0.175,0.428
0.300,0.526
0.257,0.513
0.928,0.043
0.404,0.051
0.984,0.055
0.361,0.102
0.312,0.845
0.407,0.725
0.464,0.729
0.235,0.911
0.029,0.738
0.405,0.038
0.079,0.772
0.941,0.486
0.168,0.409
0.444,0.737
0.975,0.071
0.400,0.014
0.983,0.563
0.714,0.681
0.946,0.509
1.016,0.527
0.275,0.515
0.111,0.780
0.590,0.121
0.915,0.006
0.505,0.725
0.320,0.494
0.247,0.460
0.499,0.738
0.432,0.726
0.533,0.117
0.061,0.766
0.001,0.785
0.749,0.764
0.061,0.788
0.263,0.891
0.457,0.043
0.668,0.778
0.991,0.582
0.940,0.529
1.004,0.017
0.072,0.724
0.289,0.527
0.359,0.082
0.936,0.013
0.145,0.822
0.734,0.852
0.634,0.801
1.003,0.555
0.333,0.522
0.239,0.517
0.118,0.771
0.372,0.705
0.161,0.425
0.065,0.747
0.205,0.394
0.243,0.906
1.006,0.539
0.262,0.501
0.397,0.074
0.441,0.081
0.430,0.071
0.199,0.461
0.102,0.818
0.954,0.026
0.202,0.497
0.500,0.054
0.373,0.139
0.949,0.079
0.288,0.485
0.741,0.778
0.298,0.895
0.717,0.737
0.487,0.075
0.332,0.049
0.703,0.824
0.224,0.526
1.006,0.528
1.029,0.494
0.310,0.487
0.259,0.450
0.392,0.112
0.108,0.850
0.654,0.754
0.220,0.462
0.284,0.458
0.876,0.034
0.397,0.056
0.172,0.425
0.937,0.562
0.681,0.781
0.227,0.503
0.978,0.594
0.312,0.903
0.281,0.882
0.421,0.787
0.448,0.718
0.930,0.567
0.243,0.895
0.285,0.487
0.250,0.505
0.031,0.756
0.638,0.743
0.491,0.738
0.655,0.754
0.709,0.893
0.274,0.500
0.692,0.756
0.320,0.560
0.033,0.741
0.348,0.072
0.715,0.806
0.899,0.044
0.656,0.847
0.384,0.695
0.286,0.910
0.873,0.018
0.994,0.008
0.249,0.612
0.051,0.762
0.350,0.462
0.990,0.060
0.523,0.087
0.513,0.036
0.265,0.450
0.251,0.501
0.323,0.946
0.998,0.009
0.629,0.793
0.375,0.035
0.520,0.033
0.567,0.087
