0.904,0.01,4
0.243,0.541,2
0.43,0.692,1
0.889,0.009,4
0.211,0.92,3
0.231,0.46,2
0.227,0.492,2
0.525,0.03,4
0.234,0.995,1
0.344,0.432,2
0.646,0.806,0
0.182,0.45,2
0.973,0.519,0
0.179,0.406,2
0.672,0.843,0
0.629,0.764,0
0.027,0.787,3
0.436,0.716,1
0.027,0.759,3
0.725,0.852,0
0.151,0.72,3
0.239,0.504,2
0.282,0.979,1
0.253,0.486,2
0.063,0.761,3
0.686,0.807,0
0.38,0.883,1
0.526,0.066,4
0.767,0.839,0
0.462,0.721,1
0.355,0.007,4
0.194,0.913,3
0.491,0.029,4
0.242,0.467,2
0.464,0.02,4
0.906,0.001,4
0.308,0.456,2
0.476,0.718,1
0.245,0.548,2
0.332,0.058,4
1.014,0.565,0
0.371,0.062,4
0.452,0.717,1
0.167,0.815,3
0.316,0.934,1
0.299,0.414,2
0.546,0.045,4
0.915,0.001,4
0.41,0.047,4
0.655,0.756,0
0.492,0.081,4
1.016,0.481,0
0.454,0.666,1
0.417,0.057,4
0.253,0.523,2
0.435,0.726,1
0.224,0.452,2
0.239,0.474,2
0.381,0.741,1
0.208,0.493,2
0.998,0.428,0
0.296,0.454,2
1.001,0.552,0
0.022,0.809,3
0.238,0.459,2
0.949,0.575,0
0.202,0.434,2
0.926,0.55,0
0.088,0.829,3
0.69,0.8,0
0.696,0.76,0
0.333,0.117,4
0.077,0.708,3
0.957,0.045,4
0.253,0.469,2
0.352,0.053,4
0.307,0.111,4
0.431,0.741,1
0.943,0.047,4
0.312,0.838,1
0.305,0.941,1
0.694,0.822,0
0.636,0.745,0
0.379,0.086,4
0.08,0.79,3
0.259,0.858,1
0.198,0.487,2
0.927,0.606,0
0.38,0.77,1
0.455,0.754,1
0.21,0.501,2
0.069,0.709,3
0.434,0.718,1
0.145,0.762,3
0.964,0.062,4
1.026,0.116,4
0.49,0.685,1
0.184,0.49,2
0.9,0.052,4
0.211,0.417,2
0.615,0.765,1
0.266,0.451,2
1.031,0.519,0
0.956,0.585,0
0.936,0.084,4
0.464,0.732,1
0.501,0.03,4
0.232,0.464,2
0.485,0.125,4
0.408,0.736,1
0.252,0.815,1
0.05,0.85,3
0.239,0.477,2
0.73,0.8,0
0.468,0.677,1
1.001,0.552,0
0.353,0.127,4
0.318,0.038,4
0.965,0.568,0
0.433,0.757,1
0.43,0.714,1
0.293,0.889,1
0.901,0.037,4
0.285,0.924,1
0.395,0.019,4
0.102,0.785,3
0.414,0.006,4
0.415,0.048,4
0.445,0.755,1
0.689,0.794,0
0.06,0.688,3
0.073,0.811,3
0.669,0.776,0
0.51,0.042,4
0.492,0.695,1
0.298,0.888,1
0.136,0.769,3
1.021,0.512,0
0.299,0.575,2
0.996,0.531,0
0.71,0.773,0
0.387,0.088,4
0.92,0.057,4
0.425,0.078,4
0.715,0.752,0
0.864,0.044,4
0.2,0.424,2
0.298,0.965,1
0.512,0.006,4
0.94,0.488,0
0.896,0.003,4
0.375,0.131,4
0.326,0.793,1
0.033,0.707,3
0.543,0.107,4
0.405,0.002,4
0.118,0.763,3
0.443,0.795,1
0.515,0.071,4
0.34,0.095,4
0.456,0.099,4
0.99,0.597,0
0.729,0.681,0
0.922,0.062,4
0.397,0.724,1
0.888,0.014,4
0.421,0.032,4
0.3,0.943,1
1.054,0.574,0
0.726,0.805,0
0.489,0.724,1
0.327,0.938,1
0.268,0.491,2
0.062,0.811,3
0.319,0.019,4
0.205,0.365,2
0.708,0.832,0
0.373,0.77,1
0.861,0.027,4
0.708,0.806,0
0.477,0.727,1
0.541,0.086,4
0.182,0.419,2
0.457,0.679,1
0.458,0.695,1
0.966,0.551,0
0.444,0.659,1
0.43,0.632,1
0.363,0.14,4
0.76,0.822,0
0.478,0.079,4
0.422,0.765,1
0.718,0.765,0
0.335,0.126,4
0.375,0.734,1
0.492,0.132,4
0.586,0.078,4
0.935,0.525,0
0.311,0.051,4
0.458,0.722,1
0.67,0.811,0
0.12,0.748,3
0.337,0.542,2
0.21,0.465,2
0.313,0.529,2
0.385,0.037,4
0.987,0.583,0
0.984,0.51,0
0.978,0,4
0.368,0.739,1
0.432,0.035,4
0.484,0.075,4
1.01,0.503,0
0.283,0.935,1
0.177,0.386,2
0.997,0.506,0
0.477,0.037,4
0.415,0.725,1
0.965,0.545,0
0.936,0.487,0
0.425,0.076,4
0.634,0.79,0
1.031,0.546,0
0.365,0.068,4
0.846,0.026,4
0.433,0.703,1
0.208,0.399,2
0.182,0.396,2
0.246,0.522,2
0.475,0.051,4
0.304,0.464,2
0.972,0.002,4
0.119,0.803,3
0.438,0.92,1
0.437,0.048,4
0.259,0.919,1
0.399,0.089,4
0.418,0.005,4
0.384,0.006,4
0.153,0.789,3
0.995,0.499,0
0.899,0.046,4
0.735,0.723,0
0.331,0.071,4
0.643,0.817,0
0.29,0.489,2
0.227,0.429,2
0.048,0.803,3
0.352,0.527,2
0.207,0.466,2
0.191,0.44,2
0.377,0.084,4
0.946,0.048,4
0.329,0.543,2
0.899,0.052,4
0.261,0.863,1
0.372,0.054,4
0.72,0.76,0
0.235,0.342,2
0.066,0.825,3
0.409,0.071,4
0.457,0.081,4
0.653,0.83,0
0.102,0.816,3
0.488,0.052,4
0.039,0.775,3
0.701,0.808,0
0.921,0.567,0
0.51,0.681,1
0.498,0.022,4
0.541,0.094,4
0.49,0.7,1
0.67,0.832,0
0.999,0.524,0
0.294,0.924,1
0.282,0.838,1
0.579,0.018,4
0.341,0.478,2
0.944,0.558,0
0.039,0.796,3
0.967,0.605,0
0.933,0.524,0
0.142,0.786,3
0.698,0.772,0
0.211,0.453,2
0.359,0.094,4
1.025,0.491,0
0.518,0.156,4
0.861,0.011,4
0.471,0.087,4
0.696,0.787,0
0.51,0.069,4
0.34,0.109,4
0.136,0.771,3
0.073,0.828,3
0.115,0.791,3
0.137,0.492,2
0.096,0.757,3
0.318,0.567,2
0.663,0.825,0
0.073,0.818,3
0.484,0.039,4
0.267,0.381,2
0.291,0.482,2
0.412,0.676,1
0.313,0.507,2
0.418,0.749,1
0.287,0.512,2
0.659,0.806,0
0.346,0.76,1
0.51,0.107,4
0.428,0.029,4
0.254,0.43,2
0.516,0.077,4
0.267,0.893,1
0.406,0.053,4
0.441,0.762,1
0.416,0.635,1
0.441,0.09,4
0.488,0.756,1
0.429,0.091,4
0.738,0.866,0
0.065,0.718,3
0.08,0.726,3
0.905,0.008,4
0.548,0.055,4
0.3,0.546,2
0.875,0.009,4
0.023,0.807,3
0.497,0.726,1
0.963,0.569,0
0.044,0.788,3
0.266,0.465,2
0.419,0.733,1
0.99,0.02,4
0.222,0.423,2
0.673,0.81,0
0.71,0.755,0
0.319,0.458,2
0.332,0.991,1
0.482,0.019,4
0.513,0.056,4
0.195,0.922,3
0.485,0.106,4
0.059,0.773,3
0.971,0.545,0
0.321,0.488,2
0.912,0.051,4
0.511,0.074,4
0.692,0.775,0
0.68,0.821,0
0.345,0.059,4
0.492,0.093,4
0.069,0.808,3
0.098,0.807,3
0.074,0.722,3
0.186,0.487,2
0.478,0.776,1
0.283,0.932,1
0.243,0.473,2
0.911,0.061,4
0.052,0.765,3
0.731,0.839,0
0.489,0.128,4
0.406,0.104,4
0.509,0.124,4
0.227,0.395,2
0.496,0.066,4
0.412,0.692,1
0.395,0.085,4
0.532,0.078,4
0.334,0.923,1
0.473,0.012,4
0.21,0.874,3
0.41,0.092,4
1.044,0.562,0
0.271,0.493,2
0.492,0.736,1
0.42,0.684,1
0.253,0.498,2
0.64,0.834,1
0.205,0.976,3
0.395,0.057,4
0.212,0.464,2
0.258,0.918,1
0.646,0.786,0
0.343,0.019,4
0.353,0.916,1
0.499,0.097,4
0.451,0.666,1
0.148,0.482,2
0.385,0.131,4
0.953,0.546,0
0.014,0.81,3
0.2,0.381,2
0.315,0.663,1
0.446,0.793,1
0.322,0.435,2
0.689,0.818,0
0.512,0.082,4
0.566,0.076,4
0.099,0.75,3
0.523,0.099,4
0.659,0.814,0
0.974,0.51,0
0.309,0.917,1
0.23,0.443,2
0.264,0.875,1
0.405,0.955,1
0.974,0.559,0
0.442,0.744,1
0.183,0.483,2
0.374,0.762,1
0.963,0.063,4
0.553,0.699,1
0.502,0.113,4
0.062,0.704,3
0.969,0.578,0
0.5,0.124,4
0.892,0.042,4
0.329,0.48,2
0.978,0.525,0
0.436,0.779,1
0.272,0.935,1
0.125,0.819,3
0.981,0.59,0
0.532,0.042,4
